season_year,era_id,era_name,era_short,engine_formula,is_era_first_season,is_anomalous_season,notes
1950,1,On motor donemi,PreRear,Muhtelif,1,0,Sampiyonanin ilk yili
1951,1,On motor donemi,PreRear,Muhtelif,0,0,
1952,1,On motor donemi,PreRear,F2 formulu,0,1,F2 araclariyla kosuldu
1953,1,On motor donemi,PreRear,F2 formulu,0,1,F2 araclariyla kosuldu
1954,1,On motor donemi,PreRear,2.5L,0,0,Yeni motor formulu
1955,1,On motor donemi,PreRear,2.5L,0,1,Le Mans faciasi sonrasi yarislar iptal
1956,1,On motor donemi,PreRear,2.5L,0,0,
1957,1,On motor donemi,PreRear,2.5L,0,0,
1958,2,Arka motor gecisi,RearEngine,2.5L,1,0,Cooper devrimi konstruktor sampiyonasi basladi
1959,2,Arka motor gecisi,RearEngine,2.5L,0,0,
1960,2,Arka motor gecisi,RearEngine,2.5L,0,0,
1961,3,1.5L donemi,1500cc,1.5L,1,0,Motor formulu kucultuldu
1962,3,1.5L donemi,1500cc,1.5L,0,0,
1963,3,1.5L donemi,1500cc,1.5L,0,0,
1964,3,1.5L donemi,1500cc,1.5L,0,0,
1965,3,1.5L donemi,1500cc,1.5L,0,0,
1966,4,3.0L guc yarisi,3000cc,3.0L,1,0,Motor hacmi ikiye katlandi
1967,4,3.0L guc yarisi,3000cc,3.0L,0,0,Cosworth DFV geldi
1968,4,3.0L guc yarisi,3000cc,3.0L,0,0,Kanatlar ve sponsorluk geldi
1969,4,3.0L guc yarisi,3000cc,3.0L,0,0,
1970,4,3.0L guc yarisi,3000cc,3.0L,0,0,
1971,4,3.0L guc yarisi,3000cc,3.0L,0,0,
1972,4,3.0L guc yarisi,3000cc,3.0L,0,0,
1973,4,3.0L guc yarisi,3000cc,3.0L,0,0,
1974,4,3.0L guc yarisi,3000cc,3.0L,0,0,
1975,4,3.0L guc yarisi,3000cc,3.0L,0,0,
1976,4,3.0L guc yarisi,3000cc,3.0L,0,0,
1977,5,Ground effect ilk donem,GE77,3.0L,1,0,Lotus 78 yer etkisi
1978,5,Ground effect ilk donem,GE77,3.0L,0,0,Lotus 79
1979,5,Ground effect ilk donem,GE77,3.0L,0,0,
1980,5,Ground effect ilk donem,GE77,3.0L,0,0,
1981,5,Ground effect ilk donem,GE77,3.0L,0,0,Etek yasagi
1982,5,Ground effect ilk donem,GE77,3.0L,0,0,
1983,6,Turbo donemi,Turbo,1.5L turbo,1,0,Duz taban zorunlulugu turbo hakimiyeti
1984,6,Turbo donemi,Turbo,1.5L turbo,0,0,Yakit siniri 220L
1985,6,Turbo donemi,Turbo,1.5L turbo,0,0,
1986,6,Turbo donemi,Turbo,1.5L turbo,0,0,Tum takimlar turbo
1987,6,Turbo donemi,Turbo,1.5L turbo,0,0,
